Data,IBOV,CDI Acumulado
1996-01-02,4390.0,206.84706595
1996-01-03,4681.4,207.08969591
1996-01-04,4684.0,207.32224695
1996-01-05,4694.3,207.55507629
1996-01-08,4741.0,207.78816407
1996-01-09,4653.8,208.02234523
1996-01-10,4622.1,208.25803723
1996-01-11,4748.6,208.49398767
1996-01-12,4846.5,208.73021641
1996-01-15,4895.4,208.9667036
1996-01-16,4846.7,209.2049203
1996-01-17,4836.2,209.44258038
1996-01-18,4833.8,209.67988263
1996-01-19,4909.0,209.92791983
1996-01-22,4893.8,210.17355161
1996-01-23,4985.2,210.41735447
1996-01-24,4945.2,210.66479529
1996-01-25,4926.45,210.90768369
1996-01-26,4907.7,211.1493992
1996-01-29,4934.8,211.38926591
1996-01-30,5133.4,211.63446034
1996-01-31,5151.5,211.89182105
1996-02-01,5269.3,212.14480827
1996-02-02,5410.9,212.3985509
1996-02-05,5332.9,212.65257186
1996-02-06,5354.0,212.90691088
1996-02-07,5283.0,213.1615481
1996-02-08,5322.6,213.41670218
1996-02-09,5305.4,213.67193579
1996-02-12,5338.9,213.92748746
1996-02-13,5385.5,214.185703
1996-02-14,5330.8,214.44914686
1996-02-15,5273.7,214.71356482
1996-02-16,5172.9,214.9798117
1996-02-19,5189.099999999999,215.06888535666667
1996-02-20,5205.299999999999,215.15795901333334
1996-02-21,5221.5,215.24703267
1996-02-22,5237.7,215.5145916
1996-02-23,5274.3,215.78183246
1996-02-26,5245.2,216.0413998
1996-02-27,5193.0,216.29850209
1996-02-28,5199.2,216.55437184
1996-02-29,4957.7,216.77807647
1996-03-01,5083.3,217.00698954
1996-03-04,5152.6,217.234849
1996-03-05,5197.9,217.45990544
1996-03-06,4975.3,217.68607513
1996-03-07,4755.9,217.91180748
1996-03-08,4721.9,218.13690368
1996-03-11,4771.7,218.36442518
1996-03-12,4739.4,218.59152921
1996-03-13,4805.5,218.8173212
1996-03-14,4841.2,219.04337162
1996-03-15,4852.5,219.26964071
1996-03-18,4886.9,219.49614836
1996-03-19,4851.5,219.72289456
1996-03-20,4868.3,219.94985944
1996-03-21,4979.7,220.17706287
1996-03-22,5051.2,220.40450485
1996-03-25,5031.6,220.63152937
1996-03-26,4981.7,220.85877256
1996-03-27,5039.6,221.08625431
1996-03-28,4980.5,221.31397461
1996-03-29,4954.9,221.54193346
1996-04-01,5009.2,221.76259652
1996-04-02,4985.5,221.98345837
1996-04-03,4977.5,222.20455878
1996-04-04,4915.55,222.315665615
1996-04-08,4853.6,222.42677245
1996-04-09,4866.4,222.64918491
1996-04-10,4889.5,222.88141786
1996-04-11,4885.1,223.11388938
1996-04-12,5015.5,223.34725547
1996-04-15,5022.3,223.58245049
1996-04-16,4989.3,223.81854008
1996-04-17,5003.9,224.05490798
1996-04-18,5002.0,224.29149457
1996-04-19,5075.6,224.52611307
1996-04-22,5079.6,224.75961832
