,0,1
72,TSEP4,1
100,IGTA3,1
99,HYPE3,1
98,TRPL4,1
97,LCAM3,1
92,EQTL3,1
91,ENGI11,1
90,ENEV3,1
88,UBBR11,1
83,EBTP4,1
82,EBTP3,1
77,BIDI4,1
76,CVCB3,1
144,YDUQ3,1
71,CRTP5,1
70,CPSL3,1
69,CPLE6,1
66,HGTX3,1
63,GOLL4,1
62,ALLL3,1
101,INEP4,1
102,IRBR3,1
107,BISA3,1
109,SUZB5,1
143,VIVT4,1
140,KLBN4,1
137,SAPR11,1
135,TMCP4,1
134,TCOC4,1
133,BRAP4,1
132,TAEE11,1
131,SUBA3,1
130,SDIA4,1
53,CCRO3,1
129,VBBR3,1
126,REPA4,1
125,BRML3,1
124,RENT3,1
123,RAIZ4,1
122,CTIP3,1
121,BRPR3,1
117,PDGR3,1
112,LIPR3,1
110,KLBN11,1
127,BMTO4,1
49,SHAP4,1
145,QUAL3,1
14,TNLP3,1
10,ARCE4,1
42,BESP4,1
7,AMER3,1
44,ALLL11,1
9,ARCE3,1
20,ALPA4,2
115,MMXM3,2
118,PMAM4,2
119,PTIP4,2
24,BRTP4,2
84,TNLP4,2
16,ATMP3,2
80,VIVO4,2
78,EZTC3,2
106,NETC4,2
23,BBAS3,2
75,BPAN4,2
103,DXCO3,2
46,BRFS3,2
87,EMAE4,2
47,SLCE3,2
67,MRVE3,2
45,GEPA4,2
2,CMET4,2
138,TLCP4,2
59,BRDT4,2
60,old,2
43,EPTE4,2
56,CESP6,2
64,SMLS3,2
108,POSI3,2
15,VCPA4,3
105,ITUB4,3
21,EMBR3,3
39,SYNE3,3
25,CLSC4,3
26,BBAS4,3
141,VALE3,3
111,VALE5,3
136,TIMS3,3
30,CSTB4,3
128,TOTS3,3
93,EVEN3,3
58,CGAS5,3
74,CSNA3,3
12,BRTP3,3
17,RDCD3,3
120,RADL3,3
89,SANB11,3
85,ELET6,3
54,ARZZ3,3
57,CEVA4,3
86,LAND3,3
6,DURA4,4
19,B3SA3,4
142,VIVT3,4
113,LREN3,4
1,AMBV4,4
13,PCAR4,4
8,COGN3,4
96,GGBR4,4
104,JBSS3,4
79,OIBR3,4
81,VIVO3,4
32,EGIE3,4
68,OIBR4,4
22,LAME4,4
41,BHIA3,4
94,POMO4,4
95,GETI4,4
28,UNIP6,4
73,TMAR6,4
65,ENBR3,5
139,USIM5,5
40,BBSE3,5
37,BBDC4,5
52,TMAR5,5
55,CESP5,5
11,ARCZ6,5
0,ABEV3,5
34,LIGT3,5
33,GOAU4,5
31,CYRE3,5
18,RSID3,5
116,NTCO3,5
48,BRKM5,6
3,CMIG3,6
36,USIM3,6
27,CRUZ3,7
35,MULT3,7
61,CMIG4,7
29,BBDC3,8
114,SBSP3,8
38,ELET3,8
5,ITSA4,9
4,CPFE3,11
50,TELB3,12
51,TELB4,13
