Operação,Semestre,Abertura,Fechamento,Dias,Retorno total,Ticker 1,Ticker 2,Converged,Index,Retorno total - exp
1,0,114,131,17,-0.08188873857769119,PETR4,BBDC4,False,PETR4-BBDC4-1,0.9213744664272786
1,0,75,125,50,0.03722970386353697,ITUB4,CMIG3,True,ITUB4-CMIG3-1,1.0379314103126525
2,0,126,131,5,0.1923893994394017,ITUB4,CMIG3,False,ITUB4-CMIG3-2,1.2121424326608368
1,0,35,85,50,0.08265838005215143,ITSA4,POMO4,True,ITSA4-POMO4-1,1.0861706875870376
2,0,101,131,30,-0.05813494423065757,ITSA4,POMO4,False,ITSA4-POMO4-2,0.9435226159121521
1,0,71,121,50,0.066760063909308,BBDC3,CRUZ3,True,BBDC3-CRUZ3-1,1.0690389463746217
1,0,74,124,50,0.01135176875822208,CMIG4,CRUZ3,True,CMIG4-CRUZ3-1,1.01141644458184
1,0,110,131,21,-0.05973492630526178,BBDC3,CMIG4,False,BBDC3-CMIG4-1,0.9420142036777645
1,0,114,131,17,0.02944677945719687,BBDC4,CMIG4,False,BBDC4-CMIG4-1,1.0298846229946694
1,0,104,131,27,-0.20630510791674928,ITUB4,PETR3,False,ITUB4-PETR3-1,0.8135848072447849
1,0,1,51,50,-0.02836960604842842,VALE3,VALE5,True,VALE3-VALE5-1,0.9720290325895954
2,0,52,102,50,-0.05467536652749738,VALE3,VALE5,True,VALE3-VALE5-2,0.9467924585926972
3,0,103,131,28,0.11542735794647052,VALE3,VALE5,False,VALE3-VALE5-3,1.1223529815615878
1,0,28,78,50,0.07893568944996243,CEVA4,CSTB4,True,CEVA4-CSTB4-1,1.082134727152977
1,1,6,27,21,0.2025243007675246,ITSA4,POMO4,True,ITSA4-POMO4-1,1.224489840803328
2,1,32,41,9,0.20875492532051565,ITSA4,POMO4,True,ITSA4-POMO4-2,1.232142994475543
3,1,103,128,25,-0.06257964793901127,ITSA4,POMO4,False,ITSA4-POMO4-3,0.9393382434787849
1,1,25,75,50,0.055074376303235306,BBDC3,AMBV4,True,BBDC3-AMBV4-1,1.056619199183008
2,1,81,127,46,0.06884209147988685,BBDC3,AMBV4,True,BBDC3-AMBV4-2,1.0712670335996457
1,1,3,53,50,-0.06608175245541326,ELET6,WHMT3,True,ELET6-WHMT3-1,0.9360543364230881
2,1,54,104,50,-0.014541777268580303,ELET6,WHMT3,True,ELET6-WHMT3-2,0.9855634437236073
3,1,105,128,23,-0.31327460769384596,ELET6,WHMT3,False,ELET6-WHMT3-3,0.731049133285796
1,1,1,51,50,-0.12425933605643125,CMIG4,AMBV4,True,CMIG4-AMBV4-1,0.8831507783418573
2,1,52,102,50,0.08403744028772087,CMIG4,AMBV4,True,CMIG4-AMBV4-2,1.0876696157098589
3,1,103,128,25,-0.08778375919327075,CMIG4,AMBV4,False,CMIG4-AMBV4-3,0.9159589230061517
1,1,1,51,50,-0.16267854149486105,BBDC3,CMIG4,True,BBDC3-CMIG4-1,0.8498643406291964
2,1,52,102,50,6.294494520897587e-05,BBDC3,CMIG4,True,BBDC3-CMIG4-2,1.0000629469262836
3,1,103,128,25,0.041647003883908185,BBDC3,CMIG4,False,BBDC3-CMIG4-3,1.0425264060182151
1,1,1,51,50,-0.19606827479358202,BBDC4,CMIG4,True,BBDC4-CMIG4-1,0.8219561138783819
2,1,52,102,50,-0.042570043307721406,BBDC4,CMIG4,True,BBDC4-CMIG4-2,0.9583233390335613
3,1,103,128,25,0.10758538786206706,BBDC4,CMIG4,False,BBDC4-CMIG4-3,1.1135859434099613
1,1,113,128,15,0.12029775848595081,BBDC3,CRUZ3,False,BBDC3-CRUZ3-1,1.1278326233217784
1,1,1,51,50,-0.11039246412359938,PETR4,BBDC4,True,PETR4-BBDC4-1,0.8954826215205136
2,1,52,102,50,-0.20445386674615917,PETR4,BBDC4,True,PETR4-BBDC4-2,0.8150923439121563
3,1,103,128,25,0.03003342341719717,PETR4,BBDC4,False,PETR4-BBDC4-3,1.0304889758408875
1,1,101,126,25,0.14710481185158586,BBDC4,AMBV4,True,BBDC4-AMBV4-1,1.1584753786162973
