,0,1
58,TCSL4,1
86,POMO4,1
85,AEDU3,1
83,HGTX3,1
82,TAMM4,1
81,GOLL4,1
73,EMBR3,1
66,TNEP4,1
64,EBTP3,1
63,BBAS4,1
62,EBEN4,1
60,SMTO3,1
59,KLBN11,1
115,VIVO4,1
54,OGXP3,1
52,SUZB5,1
88,BPAC11,1
89,BRAP4,1
90,NETC4,1
92,OIBR3,1
114,VIVO3,1
113,PCAR4,1
112,VCPA4,1
111,TBLE6,1
109,ARCE4,1
108,VALE5,1
106,TPRC6,1
44,CESP5,1
105,TSPC6,1
102,TLCP4,1
101,TCOC4,1
99,RCTB41,1
98,RCTB31,1
97,RAIL3,1
96,RADL3,1
93,OIBR4,1
103,TMAR6,1
38,BRML3,1
116,WEGE3,1
19,LCAM3,1
3,SULA11,1
32,SAPR11,1
17,DASA3,1
6,KLBN4,1
39,BRTP3,2
61,WHMT3,2
91,NTCO3,2
56,COGN3,2
74,IGTI11,2
13,MRVE3,2
100,TIMS3,2
35,CIEL3,2
51,PMAM4,2
50,LIGT3,2
104,TOTS3,2
107,UGPA4,2
68,ELET3,2
4,YDUQ3,2
42,TNLP4,2
40,BRTP4,2
23,BMTO4,2
65,EBTP4,2
76,TAEE11,3
80,UNIP6,3
75,EQTL3,3
15,CESP6,3
94,PETR3,3
10,B3SA3,3
5,ALPA4,3
110,VALE3,3
25,MULT3,3
72,VIVT4,3
77,FLRY3,3
57,CYRE3,3
33,USIM5,3
49,DURA4,3
46,IGTA3,3
36,ENGI11,3
28,CSAN3,3
45,EMAE4,3
67,GEPA4,3
41,TNLP3,3
55,USIM3,3
27,CCRO3,4
78,GGBR4,4
24,CPLE6,4
43,ECOR3,4
34,BBSE3,4
21,SBSP3,4
7,TRPL4,4
2,EZTC3,4
12,ITSA4,4
79,GOAU4,4
47,CGAS5,5
11,DXCO3,5
53,CMIG3,5
0,ABEV3,5
20,SANB11,5
71,UBBR11,5
31,RENT3,5
30,LREN3,5
84,HYPE3,5
69,ELET6,6
48,CLSC4,6
1,CMIG4,7
70,VIVT3,7
37,GETI4,7
29,ENBR3,7
14,BBAS3,8
95,PETR4,8
16,CPFE3,8
8,AMBV4,9
18,EGIE3,9
9,CRUZ3,11
22,BBDC3,11
87,ITUB4,12
26,BBDC4,14
